,sentences
0,리그 오브 레전드에서 비효율적인 챌린지를 영상으로 제작하여 올리는 유 튜버. 'AD 벨 코 즈' 영상이 히트를 치면서 인지도가 급격하게 증가 함과 동시에 페이스 북 같은 SNS에도 ' 포탑만 미는 직스' 라는 영상이 널리 알려 지자 입지가 점점 상승을 하고 있어 3개월 채 되지 않아 7 만이라는 구독자를 보유하고 있다.
1,업 로드 주기는 1주일 정도 지만 ' 포탑만 미는 직스' 편 같은 경우에는 미션 성공에만 한 달이 넘는 시간이 걸렸기 때문에 업 로드 주기가 늦어졌다.
2,특징으로는 포토샵을 이용한 다양한 합성기술을 이용한 편집방식이 있다.AD
3,하이 머 딩 거 토스 잔 나포탑만 미는 직스 AD 벨 코 즈 마 오 카이 아 이번 바론 익혀 먹기 연말 보너스 파 이크 씩씩한 아무 무 (feat. 팍 플레이) 챌린지가 끝나면 그 챌린지의 결과에 따라 등급을 나누어 결론을 낸다.
4,나쁘지 않음: 토스 잔 나 하지 마세요!
5,": AD 하이 머 딩 거, AD 벨 코 즈, 마 오 카이 아 이번, 바론 익혀 먹기, 연말 보너스 파 이크, 씩씩한 아무 무 [5] 이건 진짜 하지 마세요!"
6,: 포탑만 미는 직스 [6]
