,sentences
0,대한민국의 인 플루 언서 이자 유튜버다. 예전엔 좀비 왕 채널에 포스트를 올렸었지만 2020년이 되면서 유 튜브와 네이버 tv를 제외한 모든 활동을 멈춘 듯 하다. 영래 기의 컨텐츠마다 각각 등장하는 캐릭터( 성우) 가 각각 다르다.
1,그러나 조 영래( 영 래기) 본인은 거의 출연하지 않는다.
2,영래 기는 사실 마스코트라
3,할 수 있는 캐릭터의 이름이다.
4,보통 영 래기 캐릭터 이모 티 콘이라고 할 수 있는 그림을 사용하여 편집한다.
5,영래 기 본인은 성우로 나오지 않고 다른 나 레이터들 만 나오는 걸로 보아 영래기는 캐릭터가 아닌 본인이 소속한 그룹을 자칭하는 게 아니냐
6,는 얘기도 나돈다.. 망해 가는 게임들 에에 관한 영상들을 주로 올리나 정작 게임에 대한 조사나 통찰은 미흡한 채 출처나 근거가 불분명한 자신의 의견을 덧붙인다는 비판을 듣고 있다.
7,노골적으로 말하는 사람들은 나무 위 키 복붙과 입맛에 맞게 취합한 커뮤니티 반응을 긁어 온 것 뿐이라고 까지 말하는 편* 로스트 아크나 일루 전 커 넥트 등의 리뷰에선 특히 이런 점이 부각되어 플레이어들의 많은 비판을 산 탓에 사과 문이나 해명 문을 작성한 일도 여러 번 있었다.
8,이런 탓에 전반적으로 게임 리뷰 어로서의 평은 그다지 좋지 못한 편이다.
