,name,youtube_code,namu_code,혐오,행복,중립,슬픔,분노,놀람,공포
107,풍월량,/channel/UCyHvSKT_bLDYpkv1JjjsLAg,풍월량,40,309,108,15,14,104,33
108,재민TV,/channel/UCfnMSbA2Bfi4cnuuN2pa0HA,재민TV,80,349,121,48,24,143,42
109,닥터파이어,/channel/UCUsrcN6Vtqr05ibbow_rnBw,닥터파이어,58,300,142,59,21,215,39
110,임선비,/channel/UCC4QcwDnXG5poPg__kD4YmQ,임선비,52,411,131,14,14,136,57
111,핑맨,/channel/UConOmISJY0oZHRhWGyvdQ2A,핑맨,88,359,118,33,16,186,47
112,희바HEEBA,/channel/UCrLxiPkgUEEnItqryMFVG2g,희바,30,315,156,89,16,127,54
113,오버워치,/channel/UC-2wa6jvprl7hfCpvw0ULzg,오버워치,77,315,157,48,22,146,48
114,김계정,/channel/UCM9m5BHwm-lU7tK07co3ClA,김계정,62,278,147,33,24,143,61
115,옥냥이 RoofTopCAT,/channel/UCcdlIcleb4oIK6of1ugSJ7w,옥냥이,70,170,145,45,36,136,36
116,투보,/channel/UCTSaxXnhUcrhv984bVpDr6Q,투보,83,282,169,39,30,189,69
117,늪지대에서 생긴 일,/channel/UC2uID-rcbLMi3RxZmZtwSZg,악어(인터넷 방송인),59,226,135,75,19,125,44
118,League of Legends - Korea,/channel/UCooLkG0FfrkPBQsSuC95L6w,리그 오브 레전드,139,268,210,63,43,175,64
119,차도르,/channel/UCtj_00nn_viF6wJNeqgpEiA,차도르(유튜버),57,69,102,17,13,75,42
120,멋사유튜브,/channel/UCIhfL5TX-FODmWcX2k1uWHg,보람튜브,60,261,123,37,26,157,49
121,눈꽃,/channel/UCnxOGZwppMFnMYS-eUJtwXw,눈꽃(인터넷 방송인),30,242,76,66,11,73,22
122,개구릿대,/channel/UCR0aLp4aIvxS07g6rGWZr_g,개구릿대(유튜버),68,299,113,59,19,141,53
123,팡이요,/channel/UCUR5w0E-jQTOO8Q0FZ4ilYQ,팡이요,73,289,152,35,32,181,46
124,모아요,/channel/UCtJpqaQ0XAmX5uYZ48crOdQ,모아요,76,190,184,34,19,147,43
125,San E,/channel/UCrhgVHA_uAiT9BoGV9qRKvg,San E,36,316,101,53,15,102,37
126,앰비션 유튜브 [AMTUBE],/channel/UCHYMpkGhNIr8A0m2H3lIjUA,강찬용/인터넷 방송,78,262,177,39,18,115,43
127,찬이TV,/channel/UCt51IEo3ZxxOysVAG_ylR6w,찬이,27,221,73,44,15,97,31
128,뽁구BBokTV,/channel/UCO5bdxKgKczSpjFbfsGykmA,뽁구,47,247,178,48,27,156,38
129,야옹해 바바 Miaow baba,/channel/UClSuqiIAACDUJrH3gb4JcLQ,야옹해 바바,57,329,141,16,32,143,62
130,꽃핀,/channel/UC2MgNh831KCMuYkK7u8C2dg,꽃핀,88,271,171,35,20,164,64
131,가브리엘,/channel/UC2FDVyrQnjoZCUyk9fmqd9g,가브리엘(인터넷 방송인),0,0,0,0,0,0,0
132,배틀그라운드 모바일 - PUBG MOBILE,/channel/UCXVVG5ZM3SJJCh94xatR8Dg,배틀그라운드 모바일,70,164,197,52,40,81,66
133,[꿀템TV] 클템 유튜브,/channel/UCvrxJgD0T_TFvgsO2nA-fDQ,이현우(게임 해설가)/인터넷 방송,90,266,136,48,46,116,57
134,초깨비의노래워치,/channel/UCZnrdNaOFqniv7qEEqQFvIg,초깨비,30,346,131,52,21,130,44
135,튜브김민교,/channel/UCBA9XaL5wCdHnC5EmEzwrqw,김민교(인터넷 방송인),97,257,212,35,36,212,63
136,해물파전TV,/channel/UCqIwPYLfMd3EoWYwvyTjPnA,해물파전(인터넷 방송인),84,291,112,38,29,73,26
137,김레인,/channel/UCj9LQu5-mfrf6imcyrnZfug,김레인,86,185,134,29,22,125,24
138,범석TV,/channel/UCz1Gc37nWsdF_jbJ_SvMl4g,범석TV,38,199,156,36,32,144,59
139,HeopopGames 허팝게임,/channel/UCobtktl5cCEYuAKLSY0vc2w,허팝,29,259,178,56,24,118,53
140,공룡,/channel/UCWf4QKgnTyvmehcRqw-JldQ,공룡,56,251,134,33,13,144,53
141,장덕대 초심찾는 채널,/channel/UC75lZzaXiCn0EYTwg9MB5vg,대문 밖 장난감,25,155,80,22,16,95,29
142,롤박사 해도리,/channel/UCCMQyaKDjQJY79VimTdaYYQ,롤박사 해도리,85,190,146,15,32,155,50
143,프로관전러 P.S,/channel/UCqI5lyTpC79pOy2D-VXAMdA,프로관전러 P.S,72,115,165,28,26,116,65
144,이상호,/channel/UCfIUuMA7U_jImP7oWfTe4Pw,이상호,48,309,105,87,26,89,28
145,Core-A Gaming,/channel/UCT7njg__VOy3n-SvXemDHvg,Burning Core,62,45,342,3,34,196,28
146,푸린,/channel/UC7bcRlidTERRb_MKRHPVSnw,푸린(인터넷 방송인),85,261,126,35,29,181,77
147,TEAM UNIVERSE,/channel/UCDRtZhASdfRnyhae7s-UemA,TEAM UNIVERSE,61,300,160,39,22,196,57
148,이태준,/channel/UC5gp0nGTdJ56YKzI40v0cRg,이태준(1995),101,278,139,20,23,153,38
149,YOU TUBE공갈,/channel/UCJ7PxHj3J_YeH1N2spjR6NQ,공갈(유튜버),83,259,156,55,44,115,62
150,동동 TV,/channel/UCmP6N0_CMbMUYwQRaPoFyng,동동 TV,13,97,48,10,5,50,26
151,미라클TV,/channel/UCLHwMFguUxHVSk91vzicEJw,미라클(인터넷 방송인),21,133,42,9,3,70,22
152,하창봉,/channel/UCilYpdgaNbW8x8_E83vomNw,하창봉,7,20,12,9,0,25,9
153,Summoners War Esports,/channel/UCy5CDpZBPxd9O20BnIt8YWg,서머너즈 워 : 천공의 아레나,3,4,8,2,0,6,2
154,성시훈 유튜브,/channel/UCQgu0whGhuJ2Hr8u6htgxxw,성시훈,25,90,62,15,2,39,15
155,서새봄,/channel/UCYtNOIg99pgGcrE4Uo44OdQ,서새봄,26,66,25,12,6,31,19
156,Loud G,/channel/UCYP2aGg8h_9JHqNQBHNKp7w,Loud G,40,61,64,16,9,41,26
157,빅윈TV,/channel/UCbt557PsOnMaspiSUjuSVVw,빅윈,11,59,17,5,2,13,2
158,미라지,/channel/UC73j3rtkjb3qCvC7XZidzmw,미라지(인터넷 방송인),16,57,26,8,5,35,15
159,빅민 GAME,/channel/UC2WbWQ3tQNeCRyXBsAeqWhw,빅민,20,38,29,7,2,20,6
160,발__젭,/channel/UCQ9eDVhFn_jq7eTpjf21ouA,발__젭,16,86,59,6,5,46,22
161,도로시Games,/channel/UCulur1hLC2ca8oJn0xt9ojA,도로시(게임 유튜버),11,121,31,14,5,32,11
162,아려랑,/channel/UCFMzJRPsLOL17lwxN_MdcnA,아려랑,0,0,0,0,0,0,0
163,플레르TV,/channel/UCwiCv-ym6TQhMWhN23jVQkA,플레르,6,51,5,9,2,15,5
164,랩해도돼?RAPTUBE,/channel/UC13r2XVC5h3unwWgo25puAw,랩해도돼?,13,63,23,25,2,25,10
165,MadLife TV,/channel/UCj1RW5MrOLh_VrX3yHF_yow,홍민기(프로게이머),10,22,10,2,2,13,2
166,만만,/channel/UCRY0vKmqFmQ4XCJomWMBf-w,만만,58,33,67,13,25,36,21
167,딕스Dix,/channel/UCOtcE3XmueVr78j8RCnr1QQ,딕스TV,16,55,38,9,3,34,8
168,바이준 BYJUN,/channel/UC3htcPlye6noa3pAgegT2AQ,김하늘,22,54,61,19,13,37,16
169,청원이,/channel/UCCs1YZHxUTIbLZd-xrvvMCw,청원이,17,33,64,13,4,49,20
170,YT Apple,/channel/UCmcd3r7AsHjm3deMgx1ZPiw,YT Apple,11,55,41,7,7,37,16
171,Ras Apex,/channel/UCkiCNZ6c5Th3NpL2U8IhUWw,MVP(프로게임단),59,75,7,6,0,2,31
172,주둥이방송,/channel/UC9ta639M37zzWKwo7kKc80A,주둥이방송,47,61,32,13,16,39,15
173,GH'S,/channel/UCdrBnBNLsN4_cH32HWbr9qg,GH,13,46,34,4,5,39,6
174,클래시 로얄,/channel/UCgT2gPsXQ0jqb3poL5wN31Q,클래시 로얄,13,32,31,11,2,30,12
175,김진솔,/channel/UC2qm7lVDDnGuvNj6D9jHFkA,김진솔(인터넷 방송인),10,21,17,5,8,22,6
176,걸뽀girlbbo,/channel/UC_VOIxjBN_WIPKxpPs1omZQ,걸뽀_,15,87,28,5,3,36,4
177,흑운장TV [BLACKTUBE],/channel/UCdtV_sB8WUWo-P_q3OwNfcw,이성은,41,112,70,12,15,64,18
178,옴므,/channel/UCSWMuYooxYPorJSumJbLzCQ,옴므,4,33,11,7,2,13,3
179,쉐어TV,/channel/UCb0eyf03Jz8Q5j2q65TzCoA,쉐어TV,12,100,30,11,4,51,19
180,양아지,/channel/UCmMxEFwIOMGGoThkmtZZOvQ,양아지,29,66,36,11,6,48,18
181,비콘 TV,/channel/UCT_Sf9z6Cqy11VHOfbnQPNQ,비콘(유튜버),6,42,16,1,3,14,1
182,인피쉰,/channel/UC-okJdotaXPlzivRzHFqzuA,인피쉰,17,35,21,7,5,24,7
183,TheRankings,/channel/UCv0Fm-Ge7D_zmN9Gw9x2cMA,비트코인,0,2,16,0,1,20,1
184,홍방장,/channel/UCHxrU6bjWrnBfmReUAeztcw,홍방장,0,13,3,0,1,3,0
185,다주,/channel/UCawY6uW94r1JcBuOTqHDfow,다주,0,0,0,0,0,0,0
186,떡호떡,/channel/UCqMixH4Cc7CdySihHG4kkIA,떡호떡,10,27,32,7,2,24,10
187,버섯도리,/channel/UCYhUJGAH6HhOUJokzRupkpQ,버섯돌이,5,51,21,5,0,12,6
188,채널 명예훈장,/channel/UCs0LzOveQMLImmmTrMmP2sg,명예훈장(인터넷 방송인),7,33,29,4,7,17,3
189,Landing TV,/channel/UCkwRQReFyYUHzPqGk5vO7Tg,랜딩(인터넷 방송인),0,0,0,0,0,0,0
190,클래시 오브 클랜,/channel/UCORzNUvBtd0j_wraSf88Y4w,클래시 오브 클랜,0,0,0,0,0,0,0
191,군필여고생 후추,/channel/UCscL0E82anT7mtoQjJTV6Mg,군필 여고생,11,106,20,14,9,25,5
192,에렌디라,/channel/UC6xWZn2suKPqAQkidOiMeHg,에렌디라,2,9,2,0,1,5,1
193,Project LOL,/channel/UC5WxymH7e2H_SGjJyvTb-iA,프로젝트(리그 오브 레전드),19,63,45,13,9,72,19
194,나라카일,/channel/UCdMevbThDzHEbiqu0MhyfAQ,서지선,21,64,36,6,7,38,12
195,MariAndGames,/channel/UCFt6SlUqvKDCwva8nzTBXUQ,,5,21,10,9,1,11,3
196,콩콩이다,/channel/UCzjEp3u8RMkOJwpc3RzxmWg,콩콩,10,43,33,8,6,28,12
197,운학 TV,/channel/UChbSCzDSKP_m4V5aEX1bmCA,운학,0,11,2,4,0,1,2
198,유혜디,/channel/UCMBbYvXl8iHmtdtlkXt0yYA,유혜디,2,48,11,3,1,12,3
199,거눈 GONOON,/channel/UCSGi7jxv1fqTx9hYI_lrGdg,김하늘,0,0,0,0,0,0,0
200,꽃영,/channel/UC8rDleR669f72Sha9PQK11A,꽃영,41,388,129,75,23,104,29
201,하승진,/channel/UCINRJxfiq8pXfQm1EucWFfw,하승진,53,375,104,39,19,109,45
202,준등,/channel/UCcgCkpS7T7yXztF30hzy8DQ,준등,5,25,15,2,2,15,0
203,집마 홀릭,/channel/UCmZeuRfHYowZhf6odtoaNdg,집마 홀릭,18,61,53,15,2,32,17
204,지덥,/channel/UCQBl5ytG10Y_tnWe__8kUJw,지덥,10,62,22,13,5,27,6
205,랄로,/channel/UCD2YO_A_PVMgMDN9jpRrpVA,랄로,27,48,45,20,10,33,17
206,도애니 DO animation,/channel/UCqgxGebwwkoldbl3h7UoUiQ,도현성,21,72,49,21,7,50,18
207,이영호FlaSh,/channel/UC4TDU9SEVB0EgslnTI2O9IQ,이영호,13,54,43,8,8,38,3
208,쫀득TV,/channel/UCmCNgLHdknmCdQelpwxQvvg,쫀득(인터넷 방송인),24,86,49,11,8,42,16
209,YouTube지누,/channel/UCJGww2K__Q3y-MtDi0XWH2w,지누(인터넷 방송인),8,52,21,8,3,23,9
210,ZealsAmbitions,/channel/UCpDcj6E73QeFkmqk7gH5wxA,,9,8,78,1,10,44,14
211,플레임TV,/channel/UCDLDbittWhk2KXvaCT0YpZQ,플레임TV,11,62,43,9,5,56,32
212,팍플레이Pacplay,/channel/UCZecnuVvQnBCoopyobFdDZg,팍플레이,8,37,27,2,3,15,8
213,GOIS,/channel/UCEIzrF00OYA8B-WqAN5vUmg,GOIS,14,16,133,3,14,61,17
214,보물창고,/channel/UCRwMczVQ8Jr8_8Dd8o7hPnQ,보물창고,23,64,45,5,11,40,15
215,메이플 이득충,/channel/UCnHpxlp418JpbxtVEfPRK4Q,메이플 이득충,9,18,15,4,1,10,3
216,노돌리,/channel/UCNvGiN93jKCp39Jsq31BMmg,노돌리,16,71,28,6,4,40,13
217,영래기,/channel/UCcvKf8NxAw9i09hZw1MQPBQ,영래기,38,52,81,16,17,37,21
218,가이코GK,/channel/UCYWW_lthmN8cvuIaN0G9D6g,가이코,18,84,41,16,10,30,20
219,엔젤 유튜브,/channel/UCt5e5QXzt_Ub5azmAk4ozAw,ANGEL7777,3,16,7,3,0,9,4
220,PAPADOG,/channel/UCYwV9dJhAQSFrFU9JyQ5t1g,파파독(유튜버),12,44,13,4,4,23,4
221,지라라,/channel/UCdRDEMsLzDgoXY0AdQ1yN8g,지라라,14,81,20,6,5,30,9
222,44층 지하던전,/channel/UCbErjjRiLboO1q0ha-R0OGA,44층 지하던전,11,104,21,12,1,22,7
223,[ALTUBE] 김성현TV,/channel/UCOTJtP0Z9DjpPU43B5m1V6A,김성현(프로게이머),21,53,47,7,4,52,16
224,오요,/channel/UCXhTIte6TjoItbiUVUnMIlA,오요,12,41,42,12,4,31,14
225,니얼굴윤겔라(geltube),/channel/UCMsjY8EfFZNul-_7DvWe6Aw,니얼굴윤겔라,19,80,43,4,4,45,14
226,JINTUBE,/channel/UCi66uG_I878tcnbIhN7KRcg,,14,30,74,3,8,44,7
227,브롤스타즈,/channel/UClJspSpzADMROqOW9HLHaoA,브롤스타즈,1,34,19,3,2,20,2
228,아구 TV,/channel/UCAGUSx1hbPKDqzBZH7bTjiA,아구(인터넷 방송인),21,42,28,8,13,51,12
229,무지개맛 Rainbow Flavor,/channel/UCcR_wZ0zimC6UT8VO0KcS8Q,무지개맛,4,17,14,3,4,13,5
230,동수칸TV,/channel/UCVJT18d9wSCnDUdnJ9ycO7Q,한동숙,2,16,11,0,0,14,1
231,BRUSH,/channel/UCRqcPtAY2IrOjjOPt2TbYVQ,펄렁붓,5,47,37,24,10,51,19
232,심즈 아무나AMUNA,/channel/UCKQm9pMIE5ti11h_m6NEHpw,심즈 아무나,10,44,45,6,2,43,10
233,수찬 Suchan,/channel/UCLm0fAzu27N2aSd3lHsy2zQ,전수찬,13,72,17,6,9,21,4
234,두칠이의게임방송,/channel/UCwDFdWg0nGlEMr4iJnKWqYw,두칠,11,49,31,11,10,30,6
235,이초홍,/channel/UC-jHB5e-6LF-yz0kMCTZWdg,이초홍,12,56,25,4,4,33,7
