,name,youtube_code,clean,dirty,ability
0,박닝겐,/channel/UCtG4WVb1P38zdKG8HXP4scQ,2.788374695228413e-05,0.999723732471466,0.15060888975858688
1,Xbox,/channel/UCjBp_7RuDBUYbd1LegWEJ8g,0.0,0.0,0.0015141918109013994
2,Lime Tube[라임튜브],/channel/UCxutPqfWSdYqaK8_tlc5PBA,0.9997712969779968,0.00018963185721077025,1.0073184967041016e-05
3,ToyFamily,/channel/UCxLOTgnqpSqQp_kMPlb7PWw,0.0,0.0,0.00028660893440257684
4,도티 TV,/channel/UChQ-VMvdGrYZxviQVMTJOHg,0.4282315852807577,0.5677939214593997,0.0026356418927510057
5,감스트GAMST,/channel/UCbFzvzDu17eDZ3RIeaLRswQ,0.4998096801173234,0.5001269260974368,0.0005898550152779737
6,잠뜰 TV,/channel/UCg7rkxrTnIhiHEpXY1ec9NA,0.2414553493126732,0.7584736440330744,0.00016791170293639637
7,LsCraft,/channel/UC4Qw1uE9kwUI4cCAx9HZtxw,0.0,0.0,3.272294998157843e-05
8,악동 김블루,/channel/UCNzcxCN_Hh_lu5RCSFXKgGQ,0.010310272907493829,0.9896818598111472,0.0526981824811964
9,대도서관TV (buzzbean11),/channel/UCSHVH_AWVUc-C8-D8mh8W6A,0.0003469256953394506,0.9946081936359406,0.002826874596732032
10,양띵 유튜브,/channel/UCYooECrv-fIXlPaDwEIaveA,0.1294710620185242,0.8689175862382399,0.028197639163524364
11,김재원의 즐거운 세상,/channel/UCta_NRwnsUaew0t3VNxBNyg,0.0,0.0,-1.0
12,뜨뜨뜨뜨,/channel/UCHxKSivB6JLZ1SEMdxd1fAg,0.0002128215819539037,0.992150217294693,0.5481043603391527
13,Edu car toy school,/channel/UC3dt8G_iIiZXijtaaLgo1HA,0.18556026928126806,0.7989399234453837,0.0009994804859158046
14,태경 TV,/channel/UCEPuItFWOOJ2o5hTu65NlEg,6.649660326729644e-05,0.9999277591705322,0.15403622226627844
15,T1 Faker,/channel/UCpJw2H9KKqwCCGQKRh1Bf2w,0.4998322659371297,0.5001228454348166,0.4285935917478128
16,악어 유튜브,/channel/UCQJuZxeDv2P05YHcC-tIEVQ,2.0655484452921275e-05,0.9999520778656006,0.045738432123774375
17,캐릭온 TV,/channel/UCyn_E0ZE8RNOnYnF3lVaCOQ,0.0,0.0,1.4305114745982728e-05
18,우주하마,/channel/UC2NFRq9s2neD_Ml0tPhNC2Q,0.003098044786687145,0.9742838243643442,0.2304166236478977
19,테스터훈 TesterHoon,/channel/UCUbOogiD-4PKDqaJfSOTC0g,0.44966873950806985,0.5075315269641578,8.174089285040154e-05
20,우왁굳의 게임방송,/channel/UCBkyj16n2snkRg1BAzpovXQ,0.0,0.0,0.00023446977138519287
21,릴카,/channel/UC48NSSfUBsmL0k0wKxSqRkw,0.0,0.0,-1.0
22,Dino Box Jurassic park,/channel/UCR3rHpatQ69g1uiGfGp60rw,2.2350389372149948e-05,0.9689220786094666,0.11807959140705038
23,만두민 ManDooMiN,/channel/UC3DYSay178fMMPaf3zHwECA,0.00023856326879467807,0.9997584223747252,0.013290975775037572
24,킴성태TV,/channel/UCAaLhok91QDrweyuDRsmjqQ,8.124277792376233e-05,0.9995485246181488,0.3606531841907781
25,겜브링 GGAM BRING,/channel/UCSOeJWyByeoBHpmrm0NnlLw,0.0,0.0,0.22371603697538375
26,유정호tv,/channel/UCWCKqaOsUJ0OzjC01ATQmPA,0.3328520968645232,0.6671103355717302,0.03557679057121277
27,혜안,/channel/UC8CIM3d3zDYMk-3T5aAz0yw,0.0,0.0,0.034900557994842374
28,MariAndColors,/channel/UCdvO5cIFPdFDhXDzs1WrbZw,3.9236364803703815e-05,0.9999555349349976,0.006481149366923789
29,쁘허,/channel/UCtCnnCUn9IDDQRU9_04JD3g,4.368197278381558e-05,0.9999456008275353,0.09195305921457476
30,기리TV,/channel/UCEcuyrAqhRVUmRdOd6FGKSw,2.6364976292825304e-05,0.9981916546821594,0.4486265275878395
31,테드TV,/channel/UC5pbeFWTPAUdKu65kBROsBg,8.034889469854534e-05,0.9999172687530518,0.2502248768382742
32,makeUmove,/channel/UCc0_4m8a-YtBHEcYwjEnbxw,0.0,0.0,0.3326339176079879
33,텔론,/channel/UCl4nBkmJCDs6RR8uWldAqLA,0.0,0.0,0.1667108250209518
34,램램TV,/channel/UCHdsNK3SJi7tI85f4XPy7zA,1.4922926311555786e-05,0.9999662240346272,5.706027150165216e-05
35,마재TV,/channel/UC7uKMg7lPdCp4Nm1tLesihQ,1.5595829609083015e-05,0.9999802112579346,1.4464060465568808e-05
36,군림보,/channel/UCN5oT4zGJX-_H6pE5isAEeg,0.2194772874040104,0.7797525763097737,0.20554742129175085
37,연다,/channel/UCZcD2iYy55-SkEbv3tcMZrg,0.1440639628978845,0.7300745482623044,0.1296888439070849
38,울산큰고래 박성주,/channel/UCIchCOLwLBMD87quHlNuXjQ,0.006373328701859768,0.8946926593780518,0.002491613229115841
39,머독방송,/channel/UC-Zedn7a_RJyb5hUQ-aGZog,0.2476326536082069,0.7517143174773082,0.013272367141865192
40,잉여맨 유튜브,/channel/UCeG0ONJtjwE20ThR5iSYdsA,1.8841923520085402e-05,0.9999760389328004,0.013354967037836785
41,Toycoo 토이쿠,/channel/UCHCkaI_DQoU7Tgg4CsBN5Bw,0.0,0.0,-1.0
42,침착맨,/channel/UCUj6rrhMTR9pipbAWBAMvUQ,2.717241598778249e-05,0.9999156991640726,0.11169650197350878
